ID	V1	V2	V3	V4	M1	M2	M3	M4	E1	E2	E3	E4	G1	G2	G3	G4
E0068	1	2	4	1	265	224	279	306 	255	348 	403	322 	45	16	53	90
E0069	1	3	5	2	173	173	243	286 	268	315 	299	239 	29	10	35	59
E0072	1	3	1	2	182	182	242	257 	242	303 	429	342 	31	11	36	62
E0073	1	1	5	2	304	304	169	256 	233	268 	333	266 	52	18	61	999
E0076	1	2	3	2	279	279	201	198 	129	337 	434	347 	47	17	56	95
E0077	1	3	1	2	243	243	249	223 	259	212 	312	250 	41	15	49	83
E0079	1	3	5	2	242	242	165	262 	163	343 	295	236 	41	15	48	83
E0081	2	3	2	1	169	169	187	194 	264	185 	458	366 	29	10	34	58
E0083	2	3	1	1	201	201	244	212 	142	541 	323	258 	34	12	40	69
E0085	2	2	3	1	249	249	245	258 	125	325 	253	222 	42	15	50	85
E0088	2	3	5	1	165	165	284	258 	125	232 	316	253 	33	10	33	56
E0089	2	3	5	1	187	187	166	290 	153	198 	212	225 	32	11	37	64
E0090	1	2	5	1	244	201	266	195 	249	329 	226	269 	41	15	49	83
E0094	1	2	1	1	245	249	184	275 	312	363 	416	456 	38	15	49	84
E0096	1	2	4	2	284	165	214	210 	268	332 	254	286 	48	17	57	97
E0098	1	2	4	2	166	187	165	234 	166	325 	224	115 	22	10	33	57
E0099	1	2	3	2	266	244	243	194 	246	478 	323	258 	45	16	53	91
E0100	1	2	3	2	184	245	223	178 	268	432 	165	214	31	11	37	63
S0002	2	1	3	2	214	284	323	258 	166	540 	187	165	36	13	43	73
S0003	2	1	5	2	165	166	244	195 	115	325 	244	243	28	10	33	56
S0006	2	1	4	2	145	266	396	317 	187	214 	245	223	19	9	29	49
S0011	2	2	1	2	245	184	264	211 	325	537 	356	323	42	15	49	84
S0012	2	3	3	2	166	214	354	283 	153	243 	166	244	28	10	33	57
S0013	2	1	2	1	226	165	312	250 	245	458 	325	396	38	14	45	77
S0016	1	3	4	1	94	243	282	226 	109	199 	184	264	16	6	19	32
S0018	1	2	5	1	184	223	294	235 	162	199 	214	354	24	11	37	63
S0021	1	2	2	1	142	323	306	245 	245	325 	322	312	24	9	28	48
S0023	1	2	4	1	112	124	339	271 	198	268 	243	282	19	7	22	38
S0025	1	3	3	1	124	136	439	266 	127	319 	223	294	18	7	25	42
S0026	1	2	5	1	136	169	449	260 	243	257 	111	168	15	999	999	46
S0028	1	2	4	1	169	269	293	234 	201	165 	124	339	29	10	34	58
S0032	2	1	5	1	269	279	335	268 	214	222 	136	321	42	16	54	92
S0034	2	1	1	2	279	123	319	9999 	464	524 	359	449	47	17	56	95
S0035	2	3	5	2	9999	165	277	222 	296	325 	269	293	17	7	25	42
S0038	2	2	5	2	165	149	394	315 	251	343 	279	335	28	10	33	56
S0040	2	2	1	2	149	107	357	286 	249	429 	325	319	25	9	30	51
S0045	2	3	1	2	107	224	425	340 	204	321 	165	277	18	6	21	36
S0046	2	2	3	2	224	187	438	350 	284	324 	149	215	38	13	45	76
S0047	2	1	5	2	187	255	412	330 	254	265 	107	222	32	11	37	64
S0049	2	1	2	2	255	268	403	322 	243	469 	224	425	43	15	51	87
S0051	1	1	5	2	268	242	299	239 	243	330 	325	438	999	16	54	91
S0052	1	1	2	2	242	233	429	342 	299	524 	255	412	34	15	48	83
S0053	1	2	2	2	233	129	333	266 	301	316 	268	403	32	14	47	79
S0057	1	1	2	2	129	259	434	347 	298	389 	242	299	13	8	26	44
S0058	1	1	3	1	259	163	312	250 	234	391 	233	429	31	16	52	88
S0059	1	3	2	1	163	264	295	236 	287	251 	129	333	20	10	33	56
S0061	1	2	5	1	264	142	458	366 	269	304 	259	434	36	16	53	90
S0067	1	3	4	1	142	416	323	258 	198	373 	163	312	24	9	28	48
S0069	1	3	1	1	125	357	419	242 	312	350 	264	295	18	8	25	43
S0071	2	1	5	1	288	334	316	253 	267	498 	325	458	33	17	58	98
S0072	2	3	4	1	153	323	438	350 	273	325 	416	323	32	9	31	52
S0073	2	1	3	1	249	323	336	269 	158	347 	357	419	42	15	50	85
S0077	2	3	1	1	146	279	416	333 	288	355 	334	316	25	9	29	50
S0078	2	1	5	1	268	332	357	286 	288	405 	323	438	46	16	54	91
S0079	2	3	3	1	166	415	334	267 	246	374 	323	336	28	10	33	57
S0080	2	2	4	1	246	368	323	258 	264	374 	279	325	42	15	49	84
S0081	2	2	5	1	187	297	323	258 	276	320 	332	357	32	11	37	999
S0084	2	2	4	1	164	413	279	223 	189	343 	158	334	28	10	33	56
S0087	2	3	4	1	153	187	332	266 	198	359 	225	323	26	9	31	52
S0088	2	2	5	2	153	164	415	260 	114	246 	297	241	19	9	36	52
S0089	2	2	1	2	109	153	368	294 	268	381 	413	279	19	7	22	37
S0093	1	3	1	2	162	153	297	238 	142	397 	358	332	28	10	32	55
S0094	1	2	5	2	245	109	413	330 	178	325 	164	119	42	15	49	84
S0097	1	2	5	2	198	9999	187	297 	204	425 	153	214	34	12	40	68
S0098	1	3	3	2	127	245	164	406 	265	359 	153	297	16	8	25	43
S0099	1	2	1	2	243	198	153	347 	288	425 	325	413	41	15	49	83
S0003	1	3	1	2	201	127	153	373 	206	345 	9999	187	34	12	40	69
S0010	1	1	1	2	337	243	109	337 	255	398 	245	367	57	999	999	78
S0014	1	2	3	2	264	201	162	335 	276	345 	198	153	45	16	53	90
S0015	1	2	1	2	296	337	245	299 	211	374 	127	153	50	18	34	90
S0018	1	2	5	1	251	264	198	252 	169	268 	243	109	43	15	50	86
S0020	1	2	1	1	249	296	127	339 	199	332 	201	162	42	15	32	85
S0022	1	3	2	1	204	251	243	330 	276	359 	337	245	35	12	41	70
S0027	1	1	2	1	284	249	201	330 	294	274 	264	198	35	17	57	97
S0028	1	2	2	2	254	204	337	375 	296	220 	296	127	43	15	51	87
S0029	1	2	3	2	243	284	264	377 	243	259 	251	243	36	15	49	83
S0030	2	2	4	2	243	254	296	290 	288	359 	249	201	41	15	49	83
S0031	2	2	3	2	299	243	251	323 	169	382 	204	337	45	18	60	88
S0034	2	1	2	2	301	243	249	366 	243	385 	284	264	51	18	60	94
S0035	2	3	4	2	193	299	204	351 	118	218 	246	247	27	12	999	66
S0038	2	3	4	2	234	301	284	294 	169	374 	243	251	40	14	47	80
S0040	2	2	1	2	287	193	254	386 	243	454 	243	249	49	17	34	98
S0041	2	2	2	2	269	234	243	350 	243	338 	299	204	46	16	35	92
S0043	2	3	5	2	198	287	243	260 	299	341 	216	292	29	12	40	68
S0044	2	2	2	2	312	269	299	262 	301	476 	193	254	48	19	62	85
S0046	2	2	4	1	267	198	301	366 	193	258 	234	243	45	16	53	91
S0049	2	1	2	1	273	312	193	366 	234	433 	287	243	37	16	55	93
S0050	1	3	5	1	158	267	234	333 	287	311 	269	299	19	9	32	54
S0053	1	2	2	1	288	273	287	347 	269	464 	198	301	49	17	58	98
S0054	1	1	4	1	288	158	269	357 	325	298 	115	193	49	17	58	999
S0056	1	2	1	1	246	288	198	287 	312	482 	267	234	42	15	49	84
S0057	2	1	1	1	264	288	312	370 	9999	494 	273	287	36	16	53	90
S0058	2	1	4	1	276	246	9999	380 	273	321 	158	269	38	17	55	94
S0059	2	3	3	1	189	264	273	350 	158	324 	288	198	32	11	38	64
S0063	2	1	5	1	293	276	158	250 	288	312 	288	224	50	18	59	65
S0064	2	2	4	1	305	189	288	171 	288	389 	246	9999	52	18	999	74
S0065	2	1	3	1	268	293	288	299 	246	452 	264	273	46	16	54	91
S0066	2	3	2	1	142	305	246	348 	264	324 	276	158	24	9	28	48
S0071	2	1	2	1	276	268	264	250 	211	374 	276	288	38	17	55	94
S0072	2	1	5	1	204	142	276	301 	169	268 	204	288	35	12	41	70
S0074	2	1	2	1	265	276	189	340 	199	332 	265	212	45	16	53	90
S0075	2	1	3	2	288	204	293	252 	276	359 	288	243	49	17	58	98
S0077	1	1	4	2	206	265	305	305 	294	274 	206	186	35	12	41	70
S0079	1	3	2	2	255	204	268	271 	296	220 	255	146	43	15	51	87
S0080	1	2	3	2	276	265	142	295 	243	259 	276	142	47	17	55	94
S0081	1	1	2	2	211	288	276	357 	288	359 	211	258	999	999	42	72
S0083	1	3	1	2	169	206	204	276 	327	482 	369	267	29	10	34	58
S0084	1	2	2	2	199	255	265	373 	243	385 	199	134	34	12	40	68
S0085	1	2	1	2	276	276	288	183 	288	316 	276	336	47	17	55	94
S0090	1	2	1	2	294	211	206	366 	169	374 	294	329	50	18	59	999
S0092	1	2	1	2	296	169	255	271 	243	420 	296	325	50	18	59	76
S0093	1	3	2	2	243	199	276	179 	246	316 	243	320	41	15	49	83
S0094	1	2	2	2	288	276	211	366 	219	374 	288	172	49	17	58	98
S0098	1	2	2	2	169	294	169	271 	243	325 	169	165	29	10	34	58
S0100	1	2	1	2	243	296	199	330 	249	316 	243	288	41	15	49	83
S0102	1	2	3	2	288	243	276	333 	212	320 	288	177	49	17	58	98
S0104	1	2	4	2	169	288	294	366 	248	285 	169	298	29	10	34	58
S0109	1	2	1	1	243	169	296	351 	245	316 	243	267	41	15	49	83
E0005	2	1	2	1	246	243	243	294 	250	324 	246	169	42	15	49	999
E0012	2	1	4	1	219	288	288	386 	232	276 	219	204	37	13	44	75
